"bookTitle","cityName"
"Audio: Ain' No Mo' Cane on De Brazis","Un"
"Audio: Ain' No Mo' Cane on De Brazis","Bra"
"Audio: Ain' No Mo' Cane on De Brazis","Date"
"Audio: Ain' No Mo' Cane on De Brazis","Doma"
"Audio: Ain' No Mo' Cane on De Brazis","Boo"
"Audio: Ain' No Mo' Cane on De Brazis","Bo"
"Audio: Ain' No Mo' Cane on De Brazis","Van"
"Audio: Ain' No Mo' Cane on De Brazis","Lice"
"Audio: Ain' No Mo' Cane on De Brazis","Of"
"Audio: Ain' No Mo' Cane on De Brazis","Mission"
"Audio: Ain' No Mo' Cane on De Brazis","Roy"
"Audio: Ain' No Mo' Cane on De Brazis","Salt Lake City"
"Audio: Ain' No Mo' Cane on De Brazis","Fairbanks"
"Audio: Delia's Gone","Man"
"Audio: Delia's Gone","Most"
"Audio: Delia's Gone","Salt"
"Audio: Delia's Gone","Ho"
"Audio: Delia's Gone","Un"
"Audio: Delia's Gone","Date"
"Audio: Delia's Gone","Doma"
"Audio: Delia's Gone","Boo"
"Audio: Delia's Gone","Bo"
"Audio: Delia's Gone","Van"
"Audio: Delia's Gone","Lice"
"Audio: Delia's Gone","Of"
"Audio: Delia's Gone","Mission"
"Audio: Delia's Gone","Roy"
"Audio: Delia's Gone","Salt Lake City"
"Audio: Delia's Gone","Fairbanks"
"Audio: Heave Away","Kingston"
"Audio: Heave Away","Man"
"Audio: Heave Away","Most"
"Audio: Heave Away","Salt"
"Audio: Heave Away","York"
"Audio: Heave Away","Ho"
"Audio: Heave Away","Un"
"Audio: Heave Away","Kingston"
"Audio: Heave Away","Date"
"Audio: Heave Away","Kingston"
"Audio: Heave Away","Doma"
"Audio: Heave Away","Bay"
"Audio: Heave Away","Boo"
"Audio: Heave Away","Bo"
"Audio: Heave Away","Van"
"Audio: Heave Away","Lice"
"Audio: Heave Away","Of"
"Audio: Heave Away","York"
"Audio: Heave Away","Mission"
"Audio: Heave Away","Kingston"
"Audio: Heave Away","Roy"
"Audio: Heave Away","Salt Lake City"
"Audio: Heave Away","Fairbanks"
"Audio: The Whale Catchers","London"
"Audio: The Whale Catchers","Man"
"Audio: The Whale Catchers","Most"
"Audio: The Whale Catchers","Salt"
"Audio: The Whale Catchers","March"
"Audio: The Whale Catchers","London"
"Audio: The Whale Catchers","Ho"
"Audio: The Whale Catchers","Un"
"Audio: The Whale Catchers","Date"
"Audio: The Whale Catchers","Doma"
"Audio: The Whale Catchers","Boo"
"Audio: The Whale Catchers","Bo"
"Audio: The Whale Catchers","Van"
"Audio: The Whale Catchers","Lice"
"Audio: The Whale Catchers","Of"
"Audio: The Whale Catchers","Mission"
"Audio: The Whale Catchers","Green"
"Audio: The Whale Catchers","Davis"
"Audio: The Whale Catchers","Roy"
"Audio: The Whale Catchers","Salt Lake City"
"Audio: The Whale Catchers","Fairbanks"
"Audio: John Henry","Man"
"Audio: John Henry","Most"
"Audio: John Henry","Salt"
"Audio: John Henry","Ho"
"Audio: John Henry","Un"
"Audio: John Henry","Date"
"Audio: John Henry","Doma"
"Audio: John Henry","Boo"
"Audio: John Henry","Bo"
"Audio: John Henry","Van"
"Audio: John Henry","Lice"
"Audio: John Henry","Of"
"Audio: John Henry","Mission"
"Audio: John Henry","Bend"
"Audio: John Henry","Roy"
"Audio: John Henry","Salt Lake City"
"Audio: John Henry","Fairbanks"
"Audio: Liverpool Gals","Liverpool"
"Audio: Liverpool Gals","Man"
"Audio: Liverpool Gals","Most"
"Audio: Liverpool Gals","Salt"
"Audio: Liverpool Gals","York"
"Audio: Liverpool Gals","Liverpool"
"Audio: Liverpool Gals","Ho"
"Audio: Liverpool Gals","Cork"
"Audio: Liverpool Gals","Un"
"Audio: Liverpool Gals","Date"
"Audio: Liverpool Gals","Doma"
"Audio: Liverpool Gals","Boo"
"Audio: Liverpool Gals","Bo"
"Audio: Liverpool Gals","Van"
"Audio: Liverpool Gals","Lice"
"Audio: Liverpool Gals","Of"
"Audio: Liverpool Gals","Reni"
"Audio: Liverpool Gals","York"
"Audio: Liverpool Gals","Mission"
"Audio: Liverpool Gals","Roy"
"Audio: Liverpool Gals","Salt Lake City"
"Audio: Liverpool Gals","Fairbanks"
"Audio: Waltzing Matilda","Man"
"Audio: Waltzing Matilda","Most"
"Audio: Waltzing Matilda","Salt"
"Audio: Waltzing Matilda","Wa"
"Audio: Waltzing Matilda","Ho"
"Audio: Waltzing Matilda","Un"
"Audio: Waltzing Matilda","Along"
"Audio: Waltzing Matilda","Date"
"Audio: Waltzing Matilda","Bar"
"Audio: Waltzing Matilda","Doma"
"Audio: Waltzing Matilda","Mati"
"Audio: Waltzing Matilda","Boo"
"Audio: Waltzing Matilda","Bo"
"Audio: Waltzing Matilda","Van"
"Audio: Waltzing Matilda","Lice"
"Audio: Waltzing Matilda","Of"
"Audio: Waltzing Matilda","Bar"
"Audio: Waltzing Matilda","Tucker"
"Audio: Waltzing Matilda","Mission"
"Audio: Waltzing Matilda","Patterson"
"Audio: Waltzing Matilda","Roy"
"Audio: Waltzing Matilda","Salt Lake City"
"Audio: Waltzing Matilda","Fairbanks"
"Inaugural Presidential Address","Wil"
"Inaugural Presidential Address","Man"
"Inaugural Presidential Address","Most"
"Inaugural Presidential Address","Salt"
"Inaugural Presidential Address","Washington"
"Inaugural Presidential Address","Wa"
"Inaugural Presidential Address","Ho"
"Inaugural Presidential Address","Un"
"Inaugural Presidential Address","Ina"
"Inaugural Presidential Address","Date"
"Inaugural Presidential Address","Doma"
"Inaugural Presidential Address","Boo"
"Inaugural Presidential Address","Bo"
"Inaugural Presidential Address","Van"
"Inaugural Presidential Address","Soma"
"Inaugural Presidential Address","Lice"
"Inaugural Presidential Address","Of"
"Inaugural Presidential Address","Clinton"
"Inaugural Presidential Address","Clinton"
"Inaugural Presidential Address","Franklin"
"Inaugural Presidential Address","Mission"
"Inaugural Presidential Address","Jefferson"
"Inaugural Presidential Address","Franklin"
"Inaugural Presidential Address","Clinton"
"Inaugural Presidential Address","Washington"
"Inaugural Presidential Address","Franklin"
"Inaugural Presidential Address","Roosevelt"
"Inaugural Presidential Address","Franklin"
"Inaugural Presidential Address","Washington"
"Inaugural Presidential Address","Clinton"
"Inaugural Presidential Address","Roy"
"Inaugural Presidential Address","Salt Lake City"
"Inaugural Presidential Address","Fairbanks"
"Audio: We Wish You a Merry Christmas","Man"
"Audio: We Wish You a Merry Christmas","Most"
"Audio: We Wish You a Merry Christmas","Salt"
"Audio: We Wish You a Merry Christmas","Ho"
"Audio: We Wish You a Merry Christmas","Un"
"Audio: We Wish You a Merry Christmas","Date"
"Audio: We Wish You a Merry Christmas","Doma"
"Audio: We Wish You a Merry Christmas","Boo"
"Audio: We Wish You a Merry Christmas","Bo"
"Audio: We Wish You a Merry Christmas","Van"
"Audio: We Wish You a Merry Christmas","Lice"
"Audio: We Wish You a Merry Christmas","Of"
"Audio: We Wish You a Merry Christmas","Mission"
"Audio: We Wish You a Merry Christmas","Roy"
"Audio: We Wish You a Merry Christmas","Salt Lake City"
"Audio: We Wish You a Merry Christmas","Fairbanks"
"Audio: Michael Row the Boat Ashore","Man"
"Audio: Michael Row the Boat Ashore","Most"
"Audio: Michael Row the Boat Ashore","Salt"
"Audio: Michael Row the Boat Ashore","Ho"
"Audio: Michael Row the Boat Ashore","Un"
"Audio: Michael Row the Boat Ashore","Date"
"Audio: Michael Row the Boat Ashore","Doma"
"Audio: Michael Row the Boat Ashore","Boo"
"Audio: Michael Row the Boat Ashore","Bo"
"Audio: Michael Row the Boat Ashore","Van"
"Audio: Michael Row the Boat Ashore","Lice"
"Audio: Michael Row the Boat Ashore","Of"
"Audio: Michael Row the Boat Ashore","Mission"
"Audio: Michael Row the Boat Ashore","Roy"
"Audio: Michael Row the Boat Ashore","Salt Lake City"
"Audio: Michael Row the Boat Ashore","Fairbanks"
"Audio: Nancy Whiskey","Man"
"Audio: Nancy Whiskey","Most"
"Audio: Nancy Whiskey","Salt"
"Audio: Nancy Whiskey","Nancy"
"Audio: Nancy Whiskey","Glasgow"
"Audio: Nancy Whiskey","Ho"
"Audio: Nancy Whiskey","Un"
"Audio: Nancy Whiskey","Bewar"
"Audio: Nancy Whiskey","Date"
"Audio: Nancy Whiskey","Doma"
"Audio: Nancy Whiskey","Boo"
"Audio: Nancy Whiskey","Bo"
"Audio: Nancy Whiskey","Nan"
"Audio: Nancy Whiskey","Van"
"Audio: Nancy Whiskey","Lice"
"Audio: Nancy Whiskey","Of"
"Audio: Nancy Whiskey","Mission"
"Audio: Nancy Whiskey","Roy"
